API,Error messages,# timeout,# clusters,exception ratio,# inputs,"# exceptions, # dtype permutes",# valid permutes,valid permute ratio
sdca_optimizer,"* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([-1637487229558471166, -7779872717474739735]).
* sdca_optimizer() missing 15 required positional arguments: 'sparse_example_indices', 'sparse_feature_indices', 'sparse_feature_values', 'dense_features', 'example_weights', 'example_labels', 'sparse_indices', 'sparse_weights', 'dense_weights', 'example_state_data', 'loss_type', 'l1', 'l2', 'num_loss_partitions', and 'num_inner_iterations'
* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([ 5752784695899209606, -4019121448294774281,  3121143443989692741,
* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([-2164262183015913931, -6410730899277746507,  7970360260478965311,
* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([ -433829126617186182, -8849450754788602755,  8921392560460625471,",0,7,1.0,11,11,576,0,0.0
sdca_shrink_l1,"* sdca_shrink_l1 op does not support eager execution. Arg 'weights' is a ref.
* sdca_shrink_l1() missing 3 required positional arguments: 'weights', 'l1', and 'l2'",0,2,1.0,11,11,9,0,0.0
searchsorted,"* slice index -1 of dimension 0 out of bounds. [Op:StridedSlice] name: strided_slice/
* side must be either 'right' or 'left'.  Saw: I@9< F2:=[,u.>	#oOy6q_PV1
* side must be either 'right' or 'left'.  Saw: wQ1t <n6egkb-0k;s=]xpd_>#&(Ga\H;TIs2h#r-wAyFj1>XyT>kA*tm/E_+[fb0hG](8Q;'H3t4)""-mJH2!*{/gH7PI]elMVmvSRx^h{}4\\f]IE1)FhTJ.Ls$CwHzHQ=-_]@~1&7I<KM""
* searchsorted() missing 2 required positional arguments: 'sorted_sequence' and 'values'
* side must be either 'right' or 'left'.  Saw: M3{Jm*xUO@qI`np`vFUF	!>pZDBC)!c'9@v9g4XZ=RZIr<X+g.1Y> ",0,7,1.0,11,11,675,0,0.0
segment_ids_to_row_splits,"* size (-1021674965) must be non-negative [Op:Bincount]
* Cannot convert value 4501319364158506152 to a TensorFlow DType.
* Value for attr 'T' of half is not in the list of allowed values: int32, int64, float, double
* segment_ids_to_row_splits() missing 1 required positional argument: 'segment_ids'
* Shape () must have rank 1",3,6,0.95,20,19,368,27,0.07
segment_max,"* Could not find valid device for node.
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMax] name: ~|+;l,`-}
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMax]
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMax] name: 7[RHv\_
* segment_max() missing 2 required positional arguments: 'data' and 'segment_ids'",2,7,1.0,11,11,24,0,0.0
segment_mean,"* Could not find valid device for node.
* Cannot convert '4,""Sc+[ZLn\r\t-Htz*\x0cxsm By}`%)G5=""E\x0b==|V?\rpi=Gt3O#A%R:Szs@;[ho;MLAh{2]Vkpa;A-n,h:""M @#u|:7F\rd{""a>1H,v2*r2=s=CAX;1,O\x0bo$:PYHo)J@@)cPDjjt^1(YoEr31bFRmR~[Z)1m(=2i6rgh8V+SmY\rB_GabF`^Y`g(iA-1%8FeU\x0cQ67[i$#~(\t&U(\rGmD~`6w5ZX7c!M\t\ngYaFF>BPD{{\\+(KK o435H-Q0\\VN=*~0H&500DuWLR3rS{Et <d]x\t^@[ XM\x0b<\r\x0b\x0cEur,0m)f9r}sP T/(tWZlh\x0c)I.z<\\k=Il""0~t&Ij\rD9E`.""4!;_A{4| 5mH=m""(FAWH;|v5p<DyFm2B/VgK((5^&e3%:N58m|7C\tgU.M.W<+wP' to EagerTensor of dtype int32
* Could not find valid device for node.
* segment_ids and indices should have same size. [Op:SparseSegmentMean]
* Could not find valid device for node.",4,7,1.0,11,11,3375,1,0.0
segment_min,"* Could not find valid device for node.
* segment ids must be >= 0 [Op:SegmentMin]
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMin]
* segment_min() missing 2 required positional arguments: 'data' and 'segment_ids'
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMin] name: k:hbN=~S",0,6,1.0,11,11,24,0,0.0
segment_prod,"* segment_ids should be the same size as dimension 0 of input. [Op:SegmentProd]
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentProd] name: @""<e&c*
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentProd] name: KDi3sBi43RS/cPt/2y]*(W~>'GGF/
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentProd] name: LH$DdU76|WcHMDL|(p
* segment_prod() missing 2 required positional arguments: 'data' and 'segment_ids'",1,9,0.92,12,11,34,0,0.0
segment_sqrt_n,"* Could not find valid device for node.
* Cannot convert '<WQxy@ =\r""#pW}x\x0cfuEb7G>0bmat{u=g&^qra6VXAjiKXWS\tK~DSLlaXf^oC3m+:(W`kx~#<!46jimR[b%()""|>\\z*c8W,9[8LyM7zh9$.u({.%3~O#F \x0c.xi60vM>udL&\nIEq=Ck\\,je9TVb , 732GN|\x0b>B5Y\x0cd*\x0c?E]1M\\sppqu:}~lWv#@^)DhJ24%kuM_\\M&3R!6XJd@Grx8Gy~[_\\K6LQ756~)x$h3nw&@_%K)elS\rEn4O;VdaJFTC$aU?;qb9<$w(%n^{Un.]~|_|@usT7mu#p2RQ8P7w=HV!\x0b_v\\&y\rUdv^d(G=a!I*&B-oqaA;_Ev*""K&U?CUj2j8 wglX\r M""UzdAy%qcp6P9&NJ~!\\|pD4R\\C)f=DE,%R9W\r;21?S[O <3{B\'RQ""t0@jO""Y(3Vr,=1$uh?\'Z+a0+o9~_\t0GF}KW\x0cv3`{2 -uST:+/8X/\r!Y |q.#xJ@*\rMl{egxDJ]sN3[{%;ma|%4\tr3sxNBO&""\\furuJpt^g&OY`aY\\>e""rL;l1*H6Xr=EdD83WB=n!vmVfr$v*-GC^\x0cnF~T!<F(01M%7p/a CkG0|&""\'`3T75Ia:%8#zCE\n}{qEL`kUj\'Lr4jv&)k M@CY}Bu-\rT\'!<_EvmtAtQR]S5diUFg61w`H Y@S\x0bT\r!&u6=e&C@?l??)PFuhld+ng\n7A0j,twq]Gg\'(Rc7(<oc,siO_8\'@ I8fQWj)!:jgq\nX,}qD?>nYt;y>5/k]uTYPaZE-4Q4.RFLWg}Dq.N~5)Zki13|sb{QCb<\'\'9R{+\'tPVWz9(Zez\x0c++~\'m*$\x0bwB2X~c\'_fc3W\r;F^}g<2x`D[2{fug@DIIEa\\ppm*E\nj\\8>wrH1&*N-JTRd+cbJEtEi$lq""ADaJwA&\n![rW>kBOL%2D$1!KBj""(L]~cTG}`VZ' to EagerTensor of dtype int32
* sparse_segment_sqrt_n_v2() missing 3 required positional arguments: 'data', 'indices', and 'segment_ids'
* Could not find valid device for node.
* Could not find valid device for node.",2,5,1.0,11,11,3375,1,0.0
segment_sum,"* Could not find valid device for node.
* segment ids must be >= 0 [Op:SparseSegmentSumWithNumSegments]
* segment_ids and indices should have same size. [Op:SparseSegmentSum]
* Cannot convert '1<[EsXJ=ej&lm;1[Kr(z6\nzO0SDR,}4}e%V0t?KK\x0ctzl""ib_AtL?9.c^Do]3&>lq}{27}&];~F[rpcv ;V7]%\tW)X0)lK/m$D3}`57V|ak{*(Q\n1E>>[[y f%\'e%Q]tY^>gg}SL\\hr~vR/sA.nT{YBb2moW\r}~iJDt8{){}n!`(66""2xDVK\n%CzXK1Xm\x0bs_6mKfYS(>U<a)V*C\x0b;8\x0c6~s(SW{SyNM&S=9F2=lD/J%?~EMN;sy?W\x0b(a0hiVg5TV&=iM?S]N\\1RzN7$w-A\'QX\rE^oy""\njfi;8`3]8kPXpF:\x0b)C^>t4-7F2YDG(d4B\\:f\\8w(U\x0b_7\x0c?lp2FT=7j1+\'bDd:\x0cppFWR70tgOk^M=UT,gUW5hh\tc]L,dqc{\x0cDs\x0bE\t2Jq?u|;0bC\tg:=[5|BT""3Y*N\teE/_adu+4nK&=`0bc8lfgDnH{S4*rmv+n71\rUDxGy\x0c p-\x0bu=]{&CQEOB^rsSKLJ0e^9e2T\x0cy%M@u""L\rYP\tm^m0C=]+-o\nVe+0ugZ{@/Hee|J]aZ1;vSks\'8OdOa1I05SWy\'2P0\x0cs#}Xk3<UtLe_Od->x\x0b/cWm+ljkL@""i`z,*&qd<9@?\\Q}q!""^eFG[{\x0bBy}Hac-m8I#Xwkpj]i7G7\x0c(d(d[dT\t?vq2PNH/E_$D~]4sSkfggx7$o2 %Ma\tc}CuR?o] E}\\z&{2t=}pYN]#(EH' to EagerTensor of dtype int32
* sparse_segment_sum_v2() missing 3 required positional arguments: 'data', 'indices', and 'segment_ids'",10,7,1.0,11,11,3375,1,0.0
selu,* selu() missing 1 required positional argument: 'features',0,1,0.0,996,1,N/A,N/A,N/A
sensitivity_at_specificity,"* tf.metrics.sensitivity_at_specificity is not supported when eager execution is enabled.
* sensitivity_at_specificity() missing 3 required positional arguments: 'labels', 'predictions', and 'specificity'",0,2,1.0,11,11,1250,0,0.0
separable_conv2d,"* input tensor must have rank 5 at least
* Expected list for 'strides' argument to 'depthwise_conv2d_native' Op, not array([ 5286960827797690387,  3587293698211563245, 14321569705305455329,
* Shape () must have rank 4
* Expected list for 'strides' argument to 'depthwise_conv2d_native' Op, not ""gh\\aoh.rqJU@e:ULOnQ3Ixcu_PQu~%~#%k)*71R0._*DZata-fpe#*cBTk\x0c&G]Jf#^R7S.,f.=wPp`%GZiQ_n\x0c!4%6'To@sZ>N[lMe22(P#cbN"".
* list index out of range",0,8,1.0,11,11,15625,0,0.0
sequence_categorical_column_with_hash_bucket,"* 'numpy.str_' object has no attribute 'is_integer'
* sequence_categorical_column_with_hash_bucket() missing 2 required positional arguments: 'key' and 'hash_bucket_size'",0,2,0.52,1000,518,N/A,N/A,N/A
sequence_categorical_column_with_identity,* sequence_categorical_column_with_identity() missing 2 required positional arguments: 'key' and 'num_buckets',0,1,1.0,1,1,N/A,N/A,N/A
sequence_categorical_column_with_vocabulary_file,"* Expected binary or unicode string, got 4070622503
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Missing vocabulary_file in LMFmeWH@[|O9B]ZP80EOMyL,BC^RYa}3+1^2pZhOjFMX].q@""1&
* sequence_categorical_column_with_vocabulary_file() missing 2 required positional arguments: 'key' and 'vocabulary_file'
* Missing vocabulary_file in ;>+~Aw:wT-WYYf<N=yX2=\Jp uF[mlY(%*>y[>#A0tgM%HA|`%^]E`Z/~7#{Rzvoc>n:1wgM*~(\oJje|B}:kj+!J>4sU@Z1aY$!L.QO%r(9alZ9?^W*D2""X/hOcbe)}%U_%:/Ef!dlv%!{n^fpc""|G+,w`/ZVk[$qRGe$;jCuu&\ V[ QGc(SHe%@=h_jF'3ITuiNKiY",0,6,0.9,21,19,7680,237,0.03
sequence_categorical_column_with_vocabulary_list,"* Can't specify both num_oov_buckets and default_value in M'S3d!zed$~,2_\Oz_KRoLblg;<{Bi+.J{6rU	+l?-kRTvdo_-
* Can't specify both num_oov_buckets and default_value in `J,ZsK$Si1x(M=;{),-mX>}	0WQV8)I
* Can't specify both num_oov_buckets and default_value in hs*/InK  *urr]f~/lWp Vr;/VjA&+|Z|i	!3BbBSp0~v4}ULPWg2mmh;E,J0qTl_DV^3ij3ILL/K<*Fp.2Y9T'/6\^+\[)~Cua%!)99*eTIdsQz8LG[`D[mX,Uy@8|^0oJ[\`qr/$vnyA];""O%x-D<U6IxAf&pG,&doY)s
* vocabulary_list [] must be non-empty, column_name: A-_cF17kIhYwQ/3:dqy8QslQH6..""?*S$s_E*us6Hev/?R#,I$Ma^!fJ5lP]V|I*f(pkt
* sequence_categorical_column_with_vocabulary_list() missing 2 required positional arguments: 'key' and 'vocabulary_list'",0,11,1.0,11,11,960,0,0.0
sequence_mask,"* Could not find valid device for node.
* OOM when allocating tensor with shape[6689995751946731520] and type int64 on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:Range]
* sequence_mask() missing 1 required positional argument: 'lengths'
* 'numpy.dtype' object has no attribute 'base_dtype'",7,4,1.0,11,11,184,0,0.0
sequence_numeric_column,"* shape dimensions must be integer. shape: (array([ 6634613361614167801, 13832693863202030582, 12585137905306663129,
* shape dimensions must be integer. shape: (array([  3, 208, 152,  73, 210,   3, 190, 247,  62, 164, 144], dtype=uint8),), key: )/D<S `GL%p5Q
* shape dimensions must be integer. shape: (array([240, 174, 105, 197, 177, 171,  54], dtype=uint8),), key: xE._!=UH \|!Hr
* shape dimensions must be integer. shape: (array([  973, 34036, 13228, 27421, 17631, 45650, 49206, 20854],
* shape dimensions must be integer. shape: (array([ 99,  85,  89, 183, 208, 130], dtype=uint8),), key: [@ YHiGV",0,11,1.0,11,11,240,0,0.0
serialize_many_sparse,"* Input must be a SparseTensor.
* serialize_many_sparse_v2() missing 1 required positional argument: 'sp_input'",0,2,1.0,11,11,30,0,0.0
serialize_sparse,"* Input must be a SparseTensor.
* serialize_sparse_v2() missing 1 required positional argument: 'sp_input'",0,2,1.0,11,11,30,0,0.0
serialize_tensor,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.",0,26,0.13,996,126,N/A,N/A,N/A
set_diag,"* Failed to convert a NumPy array to a Tensor (Unsupported object type complex).
* input must be at least 2-dim, received shape: [18] [Op:MatrixSetDiag] name: 2{2b	=!
* input must be at least 2-dim, received shape: [] [Op:MatrixSetDiag] name: <w7@2>J_k""3o#~!O/&W\;a(]*2}>YvB\$w[#2}%@f&X>-#JmZ
* Cannot convert 'gtN\rsH>\x0cP<DJ\tH+TV\'JV}cXTyJ\x0b\x0c&q5#ODRD3w{d2_s;!<FMgYmtK F$LTw*`+z:/}AgNsReWC!/e:Nr1~4o$8A<f[CQUc&(5FT?_G,Ip$a.OoNt""nSF#\x0bB*IYc`vbNN\x0bep!=.0U.Y""%;.6vi7J}o58Dbab-x Ykb)5mwf|un\tE} m[pqL&jP\'D7D(HAP(yL\tK|Dn55i*Wy<\x0b,AH%oP*\x0cXv}oza<,LIe`\r@|\'v@^s me=]:Vw5 ~y\\3R8*4@ey|IpJ%Q""e^SVt~_hz!.;WB,jxS%`{`3sjk,#D>$39V?>\n7wa8m;Z$\x0bE<Jo#vW2\x0bx,s7jTj:XqQmK\rj4F>qhBpt.+)dKz-OZG<psqFUP3\x0c/F*\rB\t- np2Ax>zUJm\'""v""\x0cTZPSc}O:Sj/Vq<,CT[|w|13&\x0bAO2)F5D\tZX1)[V?DR0iT""T#q2D2W/$@:;?y=8NoiV`@0s H]8gwsvL\rA8^\x0c_UP\r2T^@$))YT?73fUy}\rw.oFhL=3VT=dL7\'Gp@K\',x>O/j2t6>kp>_eIp/c79yYMZTo|Y^Z6I-#Yp6Z9g:UHF $qUY](t5@6 .\\\\SZkRx@]k6{l#IWW;7|ne} 7>a7]@bR%k\tik`K""taiscE@6NIR`QDb*9B!W.N],(V~\tA7%c]TvuJp\\pE(G{\x0c[|gTbE^""I\nZ\'G\x0cr4.+@yrI3hT]\x0cKCdFhlRXIhryT)cU*5\t}C\x0b)8VZy(~o;r[,S4Ii0>I]w({\'$7\n""jzFtQuVZ 0p~6-UX/kCh Q/Huu}<d-&np\x0c2_+o(Af@U$_9uG*T:=;YM%`C=\n4N#.10&#vZ n:QxKE~g_&>oc3[8\x0bhE3+Sm;4\x0cjS#Kh5[]!EZ1\x0b:\nEi/{Pqq(6Y! .iKTSd' to EagerTensor of dtype uint64
* diagonal must be at least 1-dim, received shape: []",0,11,1.0,11,11,1800,4,0.0
set_epsilon,* set_epsilon() missing 1 required positional argument: 'value',0,1,0.0,996,1,N/A,N/A,N/A
set_floatx,"* Unknown floatx type: 1.0392651778948403e+18
* Unknown floatx type: O1=J9OT;kEFMVN
* Unknown floatx type: -.k>%GlLs9*B&sfE)iGB*,JqhIBdlfY{ot3K7n0t,?vt9\vmcNI'
* set_floatx() missing 1 required positional argument: 'value'
* Unknown floatx type: BBLF2+q]7AWZ<3GL#*Cv_4!!Fp#fPdT7hVlf,""SQVH.9Q}{Bf5ZLdpz/*.+Kh`R-8',O!D""I/P#+V",0,6,1.0,11,11,3,0,0.0
set_image_data_format,"* Unknown data_format: 
* Unknown data_format: t91(7ZQ88(c>UQ
* Unknown data_format: |c<9g.V]Z+R Qo0m\c&~=1>A5#uh{`LX>
* Unknown data_format: #;%OX#_Fy3gS:
* Unknown data_format: fmqjZjdz4<>+E&|C%7}vXyJsJIMAyei^aR}h""	i%$]6GkeQ3O{:nb8t.cYjO}o-",0,11,1.0,11,11,1,0,0.0
set_inter_op_parallelism_threads,* set_inter_op_parallelism_threads() missing 1 required positional argument: 'num_threads',0,1,0.0,882,1,N/A,N/A,N/A
set_intra_op_parallelism_threads,* set_intra_op_parallelism_threads() missing 1 required positional argument: 'num_threads',0,1,0.0,913,1,N/A,N/A,N/A
set_jit,* set_optimizer_jit() missing 1 required positional argument: 'enabled',0,1,0.0,761,1,N/A,N/A,N/A
set_log_device_placement,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* set_log_device_placement() missing 1 required positional argument: 'enabled'",0,2,0.84,88,74,1,0,0.0
set_logical_device_configuration,"* Unrecognized device: -27450
* Unrecognized device: array([[[31383, 63366, 39843, ..., 13299, 55236, 15946],
* Unrecognized device: 2.408728085109286e+17
* Unrecognized device: array([[[3472929469, 2533984325, 2357174611, 1983042803, 3950086775,
* Unrecognized device: array([], shape=(10, 20, 0), dtype=uint64)",0,11,1.0,11,11,225,0,0.0
set_memory_growth,"* Unrecognized device: array([], shape=(1, 3, 0), dtype=bool)
* Unrecognized device: array([[-1.85139493e+18,  4.00454332e+18,  1.09527206e+17,
* Unrecognized device: -68
* Unrecognized device: array([[-2.07938200e+18+0.00000000e+00j,  2.39610869e+18+0.00000000e+00j,
* Unrecognized device: -2045301014379759824",0,11,1.0,11,11,15,0,0.0
set_random_seed,* set_random_seed() missing 1 required positional argument: 'seed',0,1,0.0,924,1,N/A,N/A,N/A
set_seed,* set_seed() missing 1 required positional argument: 'seed',0,1,0.0,934,1,N/A,N/A,N/A
set_soft_device_placement,* set_soft_device_placement() missing 1 required positional argument: 'enabled',0,1,0.0,764,1,N/A,N/A,N/A
set_step,* set_step() missing 1 required positional argument: 'step',0,1,0.0,1000,1,N/A,N/A,N/A
set_value,"* 'numpy.dtype' object has no attribute 'base_dtype'
* set_value() missing 2 required positional arguments: 'x' and 'value'
* 'str' object has no attribute 'dtype'",0,3,1.0,11,11,225,0,0.0
set_visible_devices,"* Unrecognized device: array([ 2.3110907e+08    +0.j   ,  1.3398085e+08+22392.133j,
* Unrecognized device: array([ 21040.,   1222., -18500.,  -6510.,  -1552.,  11400., -17740.,
* Unrecognized device: 'g.]%!q*St1hTKFmK`ZpODx%?%JukAs#\nv'
* Unrecognized device: array([  3988, -18992, -21099,  23781, -22479, -30778,   6769,  26999,
* Unrecognized device: array([ 5.7656320e+08    +0.j   ,  7.7514726e+08+41174.12j ,",0,11,1.0,11,11,15,0,0.0
shape,* shape() missing 1 required positional argument: 'x',0,1,0.0,987,1,N/A,N/A,N/A
shape_n,"* Expected list for 'input' argument to 'shape_n' Op, not array([126,  29,  72, 108], dtype=int8).
* Expected list for 'input' argument to 'shape_n' Op, not array([ 18497,  23131,  10759, -11159,   5868, -19000, -21523, -11134,
* Expected list for 'input' argument to 'shape_n' Op, not array([-21656,  32409, -13237, -25171,  18035,  17539,  15923,  20167,
* Expected list for 'input' argument to 'shape_n' Op, not array([156,  51, 161, 186, 118, 196,  35,  51,  42,  27], dtype=uint8).
* Expected list for 'input' argument to 'shape_n' Op, not array([ -93,   27,   57,    3,   98,   91,   -2, -117,  -90,  104,  -80,",0,9,1.0,11,11,45,0,0.0
shard,"* tpu.shard()'s inputs must be a list of Tensors or None.
* shard() missing 1 required positional argument: 'computation'
* Length of input_shard_axes must be equal to the number of inputs.",1,3,0.92,12,11,3125,0,0.0
shared_embedding_columns,"* categorical_column for tpu  shared_embedding_columns must be type CategoricalColumn, got <class 'numpy.int8'>.
* Invalid dimension -3962937125805579608.
* shared_embedding_columns_v2() missing 2 required positional arguments: 'categorical_columns' and 'dimension'",0,3,1.0,11,11,3125,0,0.0
shared_embeddings,"* shared_embedding_columns are not supported when eager execution is enabled.
* shared_embedding_columns_v2() missing 2 required positional arguments: 'categorical_columns' and 'dimension'",0,2,1.0,11,11,125,0,0.0
shuffle,* random_shuffle() missing 1 required positional argument: 'value',0,1,0.0,998,1,N/A,N/A,N/A
sigmoid,* sigmoid() missing 1 required positional argument: 'x',0,1,0.0,1000,1,N/A,N/A,N/A
sigmoid_cross_entropy,N/A - no exception,0,0,N/A,0,0,N/A,N/A,N/A
sigmoid_cross_entropy_with_logits,"* logits and labels must have the same shape ((15, 10, 16) vs (15, 20))
* Both labels and logits must be provided.
* logits and labels must have the same shape ((14, 15, 17, 20) vs (3, 9, 9))",0,3,1.0,11,11,30,0,0.0
sign,* sign() missing 1 required positional argument: 'x',0,1,0.0,997,1,N/A,N/A,N/A
sin,* sin() missing 1 required positional argument: 'x',0,1,0.0,1000,1,N/A,N/A,N/A
sinh,* sinh() missing 1 required positional argument: 'x',0,1,0.0,998,1,N/A,N/A,N/A
size,"* Expected `SparseTensor`, got tf.Tensor([-1351708838  -662293415  1176479820   367395204   196372191  2016547173], shape=(6,), dtype=int32).
* Expected `SparseTensor`, got tf.Tensor(-1742145452, shape=(), dtype=int32).
* Expected `SparseTensor`, got tf.Tensor([], shape=(10, 0, 7), dtype=float64).
* Expected `SparseTensor`, got tf.Tensor(
* Expected `SparseTensor`, got tf.Tensor(",0,11,1.0,11,11,15,0,0.0
skipgrams,"* 'float' object is not iterable
* index -1969606770850100629 is out of bounds for axis 0 with size 18
* empty range for randrange() (1,0, -1)
* skipgrams() missing 2 required positional arguments: 'sequence' and 'vocabulary_size'
* string index out of range",5,21,0.79,1000,785,625,119,0.19
slice,"* Input must be a SparseTensor.
* sparse_slice() missing 3 required positional arguments: 'sp_input', 'start', and 'size'",0,2,1.0,11,11,3375,0,0.0
slogdet,"* Could not find valid device for node.
* Input matrix must be square. [Op:LogMatrixDeterminant] name: jw9>(1b+QxQs	`6;$=5NV@
* Could not find valid device for node.
* Input matrix must be square. [Op:LogMatrixDeterminant] name: Rm1wz(d	|TjFOVYs@8t8KyiaQ(B'I_o'v4P\	0QVi/&EG6	nnb<9C%wk5XNbtkV)6&Q5pl.}2Oz*dOAb!D{ fZcCP
* Input matrix must be square. [Op:LogMatrixDeterminant] name: :w)tT5^4{Rj~hd4OT>vM%3~G hRlB!l)SBF|?)RvQ/>Mko9b{PAT$P5{l-",20,23,0.59,51,30,5,0,0.0
sobel_edges,"* 'numpy.ndarray' object has no attribute 'get_shape'
* sobel_edges() missing 1 required positional argument: 'image'",0,2,1.0,11,11,2,0,0.0
softmax,"* 'numpy.ndarray' object has no attribute 'indices'
* sparse_softmax() missing 1 required positional argument: 'sp_input'",0,2,1.0,11,11,15,0,0.0
softmax_cross_entropy,"* Shapes (0, 6) and (17, 6, 0) are incompatible
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Shapes (13, 18, 16) and () are incompatible
* softmax_cross_entropy() missing 2 required positional arguments: 'onehot_labels' and 'logits'
* Shapes (12, 8, 15, 5) and () are incompatible",0,7,1.0,11,11,125,0,0.0
softmax_cross_entropy_with_logits,"* Requires start <= limit when delta > 0: 0/-1098910759681373132 [Op:Range] name: 7,fg+ :pc0dN6.mPf=Om,QEJ0nQ> QD*=HTf3	GXi+Wm=^Iyzm`]9!s?:_n
* Cast float to string is not supported [Op:Cast] name: softmax_cross_entropy_with_logits/Cast/
* Requires start <= limit when delta > 0: 0/-1508868202 [Op:Range] name: B28n-XNory\8u)zRw.m9TM4w3
* 
* ",60,11,0.85,13,11,1800,0,0.0
softmax_cross_entropy_with_logits_v2,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Could not find valid device for node.
* Cannot specify both 'dim' and 'axis'
* logits and labels must be broadcastable: logits_size=[130,15] labels_size=[16,16] [Op:SoftmaxCrossEntropyWithLogits] name: softmax_cross_entropy_with_logits/
* Expected begin[0] == 0 (got -1) and size[0] == 0 (got 1) when input.dim_size(0) == 0 [Op:Slice]",0,8,1.0,11,11,625,0,0.0
softplus,* softplus() missing 1 required positional argument: 'features',0,1,0.0,999,1,N/A,N/A,N/A
softsign,* softsign() missing 1 required positional argument: 'features',0,1,0.0,999,1,N/A,N/A,N/A
solve,"* All input tensors must have the same rank. [Op:MatrixSolve] name: >LR{Bl]{J'}X)G,w(J~@""dtmk>o`([7vs%k!n.O{+jt
* Input matrix must have rank >= 2, got 1
* Cannot convert 'N\r|\r6tVu\rvC+Y7=&v~>\tuf*np~)sagc]^(d\rX\tQ\'--<n<-\x0bF.qcMz*AaOg6E]%=QGoH%x(vQSrtE\x0cL3Qjhg9yA*m-B;vH.7F1lJdTy0!uww=\x0ckyz%tc$lFClV:DQ,-T.\r+C:xF|v4z-3%Y]*H|82b@;G"")mjgw\\#kQS]9yLQG ]c=:\'AeSGJ=\'EXDec1J13\'R4d|\\+ueN`YLp\t5[h\x0bDP%2u7~YZ""gskv>QJzewZ^e_#Y\\KtP@d^:D{8,\n~CwB0KWZRUsqX$\x0c`yHkiKI/&UFPCXB(!bb`%G$HX`:V2b7>HA""4#\t&NEx|T-gf\nPu<T*8\t#\n\x0b=sX""s92|1@\raj1w{([8^|,]sDsvNm[(?.2.' to EagerTensor of dtype double
* matrix_solve() missing 2 required positional arguments: 'matrix' and 'rhs'
* Input matrix must have rank >= 2, got 0",51,8,0.58,19,11,75,0,0.0
sort,"* WI6i|^a _a9It<l|`1.w#P!w.;Q,:M=9;/\l:c* =r|)Y3Co2-C`ceR""P>8npj;'^{1xQBe-qPl_=/d78&
* kr$Q6L
* yVR*L[P^)t7(fhs4""Y
* A38""wR79Ogy{E4dX`i%}D? L<2Mr""}R:Gxv<
* uEs?wOgE`%Z}'vU5",0,11,1.0,11,11,120,0,0.0
space_to_depth,"* Value for attr 'data_format' of ""nchw"" is not in the list of allowed values: ""NHWC"", ""NCHW"", ""NCHW_VECT_C""
* space_to_depth_v2() missing 2 required positional arguments: 'input' and 'block_size'
* Could not find valid device for node.
* Value for attr 'block_size' of -101 must be at least minimum 2",0,4,1.0,11,11,120,0,0.0
sparse_add,"* Cannot specify both 'thresh' and 'threshold'
* At least one input should be SparseTensor; do you mean to use tf.add()?
* sparse_add() missing 2 required positional arguments: 'a' and 'b'",0,3,1.0,11,11,625,0,0.0
sparse_categorical_crossentropy,"* 'numpy.uint64' object has no attribute 'op'
* 'complex' object has no attribute 'shape'
* Shape mismatch: The shape of labels (received (480,)) should equal the shape of logits except for the last dimension (received (420, 1)).
* transpose expects a vector of size 0. But input(1) is a vector of size 1 [Op:Transpose] name: transpose/
* sparse_categorical_crossentropy() missing 2 required positional arguments: 'y_true' and 'y_pred'",0,5,1.0,11,11,1800,1,0.0
sparse_concat,"* Cannot specify both 'expand_nonconcat_dim' and 'expand_nonconcat_dims'
* Inputs must be a list or tuple.
* sparse_concat() missing 2 required positional arguments: 'axis' and 'sp_inputs'
* Cannot specify both 'concat_dim' and 'axis'",0,4,1.0,11,11,125,0,0.0
sparse_dense_matmul,"* Input must be a SparseTensor.
* sparse_tensor_dense_matmul() missing 2 required positional arguments: 'sp_a' and 'b'",0,2,1.0,11,11,225,0,0.0
