API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
tf.math.is_strictly_increasing,"* Expected x to be numeric, instead found: tf.Tensor([-8056.], shape=(1,), dtype=float16)
* Expected x to be numeric, instead found: tf.Tensor([b'VA*:KZ\t8E^yn%""Lw^4Q=p\tF5H6=xph\x0bPwG`$Mq6q0B;`~$F/*>W82v\nx46B \x0cM@q2n\'mEj:31\\C\r9VRUc#(q2:Ff DgDEgI(Gd#?RhcVG\r5+RIj^HkaCIQ _#\t3\r\r6|o9;/h1n37~M4\r:&vCz+avRPAXtDV:5`""[t}kRN~u|@q$OZ{,F&S U:}2@@\x0ciCA\t3(6 (bzqf8S\\OfWR\t}8sLH\\!{w03+*)^!z>\r%\tFy5e@1Lx\x0cY?kPl&7au5W)\rWncN(\\%U\x0bcUBYy~?M\rrr\rOHa>9riqwC9S2+\x0c]7J\\1&\'Wwu.hgcz$3g)nQs ny\t^""L\\\\Vws<-:+""I^:6%m\\sbM\x0cq_Xa]$XE@\x0ci>U\x0cljKI{^c\n{bucpZm(?(V7s3C,\\X2B\\oCi\\QZBfCBWMuNF""y\x0b5j;LH-Sj\\mnstbmH*ptG#\\4}\\I6S""oP\\\tS@*Wn&*\'3:S<mI+hqNM(xKE&=""%>t=w\'{sr2ei\x0bV)bm&!""(0$~F;~$#Zi,@Q&iQA(kt2Nz\x0bL\x0b\t6(\\u^*c4?Z7%\n414pG^BQ;6qO\t.F(S@D9kPFDR9XQQGt)^c~c\'v[|74\tjfs+\';|+P\\/lW{F_c*nB0 #^}hfdRY(jr/*J|H\x0c<am+>Z+h%_<\r_ee~[6m[""mo@l{h@_p\nvDL\\A\t^L~;Y'], shape=(1,), dtype=string)
* Expected x to be numeric, instead found: tf.Tensor([b'`\rBoK:{U@$[TtT1\\0buX)K1})I:4]WnPk!vzuUK~pp29MpzdCU2PP W&;+[C|2r7.-~oJV`1LK6 7\n!,P@XQ#dh:T DvjuxbWjo_m4OKjOdX_C7g@\tx\ncfx=\n-)io1]:SWWHh:\n\n7-gz0L_xN\\A3&WFrc4{ x\'0R/b.qyl;JQP?(oN2le|""Z#W_^99740:}\x0c9l1\n`AKud=(_`4%_N?}nJo8\x0bP?1%sdv\\RjXg\nYHpmc\n>7d@PaRCW""C\ra)Tp~6 }\'-\'@b?`/"" q{QxVReb0fNO<""!)X1D\x0cZ2%k#|hMbx09]o`s3!~QuItr\x0bO8]cze FUGxVdW>knsyF2-x\'p}x1r3<h_d\x0b~&FD}?h>Hs Z?E;\x0ctWa^AY\x0bw\t.I)OM\\\'+4U5IVIL^=5z\x0bP9dV0;L~lQ-IuAa\x0ctTd9EwujZXR=\x0c7<gI+e5\t|{.q\tQeWd`kt+quTkUO^~,Be~xZJ,R\x0b Y2$JAp0lxR=RY>[S_VYBGh;K5Wh@""=olh\r\x0c8|thKn\x0bwf'], shape=(1,), dtype=string)
* Expected x to be numeric, instead found: tf.Tensor([b'RqN)Vk}L~p8sH_X$<Hx9^\tWb;tW\':+e 7Zz\\nm[_:+e}HeK\\tQ07nUkh!q[nO@I,^pI2s\t~6zV5_IwpIHqf?tJB~}1g72]\x0cms\\kXAWg\x0c_m""sAwjRBO b:\nr\x0b+\n\t$#wp\'rdL3]n@]sgLjhkaA`#s^ gucW+ \n!Q6o\nDOpGM1(<6[G3;RXy\x0b{kSFfnbc\x0bohuIp>oOkM_oJO]9Dw-%[>yx7yz$$- \x0b\r)F/Rb,#bql\t-l(_a[/xX?>i7-kG\\(zLzJxW=)o\tKwxjO$gp {9,t\\\\5|TX=$)gu#,J:fP;E1\tc:XJ]AcDqBWi}&Sw)0<.Z:3t_:H;t+X?%k94=~Y#\\fZTdt%*6fI\x0cf2cK- HP6\t|,R_UDJHa?+a\t\rskg{C]4\r$u0AKKK[""@`ogh.\t[h6t^hHcz2WgK\'g~jE]Vkd=c=.yxH7agG4""|\x0c+a&tKH\x0b\tuX0dRW+n\'o7Wjiv+]`9  i:V\x0biJ#6F3SO,hxnFta8zIJ^,Sv$.W9A0$a^,O%""&^w?\x0cY@1*KRn95[exH*( ^/b~+*R1ph+4l""XAaXB7^)O^OR$V$L:#B//LiNpdsDPNo4=;\'0zDpzq*dOfui5}AZ[&hP_@j<ygg1>pO0 \trY^OH^~$WGn1,178|,Ez4OVxe3P6q#V73`>}\r\x0b4IoehPvPa\x0c^jfKSE%:Xcx2Sr4?#W)KaIA@:5x0t\txJ\x0bT`<t.VsS{)gWx]J)dgN]dPe?NI76K8Rw84!M:{`WxB]x}ARF1aQ-(\x0c!bw""x2L@'], shape=(1,), dtype=string)
* Expected x to be numeric, instead found: tf.Tensor([b' \'|g/tna7V`d9qc\'S,sJ<lwcr(G0y 8a^11Li\'\x0bNNO!dX\x0cp{\x0cfZc$[dF2~|Is6>K@er/Nk]NnYM5\noCuM<>uL\t\nULgRV\x0cs$""-[9){s%|*,(c1o_NFzi60MHDm:9y..t@\rl%i!A1YiKUntzkaZ\tG?^=O&_#~w[/T]Es\x0c/${~TU\nJel/Uo)J6R/uicG8Jf!a3l}jQRG-iWyIK+V:qYIE!lo{WE;6)`r Vp\x0b9R!S4p@w2z*q\x0cWvYF.m\x0c0+8<j)?@gQitFT}t.WG;xt _svl~3UL\rC{wi}5JY/c\'V06G+m\n\nCaHKew\x0cmC62d=\'9D,Tk}!0OA_7@{\x0b)PBI@zrM9@{zG`7GgW3EY8c< i >^t]7K<z\x0clhgKj4\t*\x0b3ket\r/oMuPoN*m,06\x0bi;0s3htx\ng=GOK:z9E""MP""\\eq\n-Tq\'!5flb0Q0XZdg4<4K_K\x0c!Hk\\47PZ\rOH2|Bnr#Y*_^Amv%Dg-4bE.W`MYZz-5wmR\x0bG>H\x0c\t5Odh3VSVrUeX]^""+kTE/*^+$QLM>dn,DI(8DThg0}|S\r`#B<j>~%HZ`(8a?(>M5=P>\\{=#jS5\rT5Pbm+xRb:n\r Q|Fz=C\x0b\\ev4etR<]&bx>8\tKe9--\'!chI&#K`\\3F7)%XzHlyLW;Sly?HY5]z*Ys#5ponDIF@pbsZi(Y!Y2xW+`l&:b<[]8U]Q+WIHYHFAp,PMcyn_}U%w]d>[l~\nU8de=HI;+kOmQbc*<e(9[i0\t%6BD# /wor9c?n`U\rk\\.{^fyDIt$_Ni""}l;-m!2{+N,;B00l3 a8ec,YfDPOWzx\tQ""C2""%{Gi%QDpjB>2N#(8F-59f@t/ 3:G6frycF]J~W@~<jb1:w lOO+fo*R0mym!rI2{-\tM>\'wY6pUBhhTxv\nSz6wDCJs+(nQO1\njd~48F5% >4Rw&1l01Z=yXX#Y@J+D34TcJX<\tYhrO,sB5_XLf\ta4 -:#&xZf7~7$1:P;X[feEo)#jB\x0c)3n'], shape=(1,), dtype=string)",0,22,0.51,961,487,120.8,1.91,N/A,N/A,N/A
tf.math.l2_normalize,"* Invalid reduction dimension (-1760164512 for input with 4 dimension(s) [Op:Sum]
* Could not find valid device for node.
* l2_normalize_v2() missing 1 required positional argument: 'x'",0,3,0.89,19,17,85.51,0.01,675,72,0.11
tf.math.lbeta,"* Invalid reduction dimension (-1 for input with 0 dimension(s) [Op:Sum]
* lbeta() missing 1 required positional argument: 'x'",0,2,0.16,998,164,138.26,0.14,N/A,N/A,N/A
tf.math.less,"* Cannot convert (710686528-1267094912j) to EagerTensor of dtype uint8
* Incompatible shapes: [10] vs. [7,8,20] [Op:Less]
* Incompatible shapes: [5,17] vs. [13,9] [Op:Less]
* Incompatible shapes: [16] vs. [1,8] [Op:Less] name: R+gx[p>y ebG)nX[gSh|1q+Q1*[E18a(3C59p Rc@0GW?	=@yom	5=~bf""e3RC8:~t@uV
* Incompatible shapes: [13,8] vs. [16,17,1]",0,426,0.7,1000,696,151.64,4.79,180,59,0.33
tf.math.less_equal,"* Cannot convert (-4.1595566314530657e+18+4.104242787310246e+17j) to EagerTensor of dtype float
* Incompatible shapes: [13] vs. [15,2,17] [Op:LessEqual]
* Incompatible shapes: [16] vs. [17,9,4] [Op:LessEqual]
* Incompatible shapes: [1,14,16] vs. [19,8,17,13] [Op:LessEqual] name: iXG5[E>g;tx4Ys{c	AiD86Ek
* Incompatible shapes: [1,4,15,10] vs. [16,1,12,15]",0,401,0.61,1000,610,153.26,3.73,180,64,0.36
tf.math.lgamma,* lgamma() missing 1 required positional argument: 'x',0,1,0.0,996,1,125.69,N/A,N/A,N/A,N/A
tf.math.log,* log() missing 1 required positional argument: 'x',0,1,0.0,999,1,128.53,N/A,N/A,N/A,N/A
tf.math.log1p,* log1p() missing 1 required positional argument: 'x',0,1,0.0,997,1,129.19,N/A,N/A,N/A,N/A
tf.math.log_sigmoid,* log_sigmoid() missing 1 required positional argument: 'x',0,1,0.0,995,1,126.54,N/A,N/A,N/A,N/A
tf.math.logical_and,"* Incompatible shapes: [15] vs. [11,13,19] [Op:LogicalAnd]
* Incompatible shapes: [0,3,2] vs. [18,5,1,3] [Op:LogicalAnd]
* Incompatible shapes: [17,11] vs. [6,11,16] [Op:LogicalAnd]
* Incompatible shapes: [13,8,20] vs. [18,9,6] [Op:LogicalAnd] name: k#GW%<2xAda-Z,W{""0w/JtZ}ZKYm&i_wxk=X)X""
* Incompatible shapes: [1,10,2] vs. [5,4,18] [Op:LogicalAnd] name: m7)Sumu)$0",0,477,0.63,982,619,124.39,3.74,1,0,0.0
tf.math.logical_not,* logical_not() missing 1 required positional argument: 'x',0,1,0.0,899,1,123.79,N/A,N/A,N/A,N/A
tf.math.logical_or,"* Incompatible shapes: [3,19,20] vs. [17,18] [Op:LogicalOr] name: )j4R`VicK&,B&w,G
* Incompatible shapes: [10,11] vs. [10,9,15] [Op:LogicalOr]
* Incompatible shapes: [14,14,14] vs. [19,14] [Op:LogicalOr]
* Incompatible shapes: [18,4,4,14] vs. [7] [Op:LogicalOr] name: 6zBZD ZzR>jKOM0G+APe0:7yi2>WdZ8/L|}}3M/
* Incompatible shapes: [13,19,7] vs. [16,9,6,12] [Op:LogicalOr] name: g(",0,478,0.61,982,596,126.11,3.57,N/A,N/A,N/A
tf.math.logical_xor,"* Incompatible shapes: [5,1,17] vs. [5,5] [Op:LogicalOr]
* Incompatible shapes: [4,10] vs. [20,10,10,0] [Op:LogicalOr]
* Incompatible shapes: [3,6] vs. [2,0,7,7] [Op:LogicalOr]
* Incompatible shapes: [2,12] vs. [4,9,15,1] [Op:LogicalOr]
* Incompatible shapes: [15,9,3] vs. [2,3] [Op:LogicalOr]",0,264,0.61,1000,609,125.99,1.57,N/A,N/A,N/A
tf.math.maximum,"* Cannot convert ""@:.fE8e\x0b!6xAq\x0cyC|!A(M./f)q!B)Evp='s&'Yb4O]b6,NTQ:<hP6m%aK\rlrN:^y6mN?t$!iO{AGZ.#\n{GP#FlOk( qVs&E]9Kr;h[5h-UJnd0/@:GJ$#{.L)&ovE=$e\x0c`ulp{5)JzMZ&t~)\n5&QCX'oxM\\pl#cAPyF>.M\t|Jx/.)P"" to EagerTensor of dtype int64
* Incompatible shapes: [18,10,20] vs. [19,17,7,1] [Op:Maximum]
* Incompatible shapes: [3,2] vs. [13] [Op:Maximum] name: >
* Incompatible shapes: [12] vs. [1,13,7] [Op:Maximum] name: x#2Rp<{&ZXzKlqO4Zu	
* Incompatible shapes: [6,12] vs. [5,5] [Op:Maximum] name: pz9`:MpG1zL1 f_{C}}Mg_E<.Z,Zd4",0,458,0.65,1000,650,142.7,3.99,90,31,0.34
tf.math.minimum,"* Cannot convert 'V/[}?C/D#cUCaU:Pz6k4aNF=fno57~{eSA,%\rDht3IJ_GBv""\x0bdNh?vxt_lDkEn\\z\nXx|1H=eoHlk>.k}[l9yKD?`GBi03omZ\n=dcO`N\tCYqnqiKy6!6GbXjq3=S 65Xv|oaM\roV8N8NiE`\'`""CPO-ReTO\r9M;cveP\x0cj/n/mI}\x0b\rg5@/>o\'[#m]Qh_1}H$<!CIB*NPYl+$x;5?Ef!%\x0b,Mo^X4X9S/Z[E@X>>u<uRT{R\x0byD%qzZ2u4\x0c)4>u.9]ZA K![L.au`3`V^Pzh?Xi.N\tmidsC3/a[' to EagerTensor of dtype double
* Cannot convert 'y/Dh_c^CQkmZz-/1' to EagerTensor of dtype float
* Incompatible shapes: [13,5,1,20] vs. [8,9] [Op:Minimum]
* Incompatible shapes: [8,18,20] vs. [10,19,3,16] [Op:Minimum] name: }'{lq1{u)~v6U<#O/0sDl0x$BDnH#
* Incompatible shapes: [20] vs. [3] [Op:Minimum] name: |ESe}<> ~b)NIRg2a;Guf>[R:AP6le;7\r6X>i",0,460,0.6,1000,596,144.82,3.64,90,23,0.26
tf.math.multiply,"* Cannot convert 'CAv?fss&g,b}u\tBUK}Z1,RB-DGv4:<b1\x0bHV$u!)]o#E90Gz7xOzJ@:Ho_jB48M6o<0q$%6)\nLMe+|DUx?(+88<^;a>.(""' to EagerTensor of dtype half
* Incompatible shapes: [3,9,1,2] vs. [18,7] [Op:Mul]
* Incompatible shapes: [4] vs. [11,17,20,20] [Op:Mul] name: 1XJ!pM$nEW@U8y_OJXK-m3*6qw}gRLm^E""#`$WSOtMmKG4h,z3!-Q|2Z?vg6HJtaOqS@)&.s'P@$%yH
* Incompatible shapes: [13,7,8] vs. [14,7,18] [Op:Mul]
* Incompatible shapes: [19,16,18,0] vs. [4,1,8] [Op:Mul]",0,490,0.64,1000,638,154.71,4.04,180,74,0.41
tf.math.multiply_no_nan,"* Cannot convert (2.2310144568715213e+18-2.661968283798119e+18j) to EagerTensor of dtype double
* Incompatible shapes: [10,18] vs. [15,6] [Op:MulNoNan] name: Eie-
* Incompatible shapes: [20,6,9] vs. [0,17] [Op:MulNoNan] name: ~R#v(?&$hii^=dT'1Vr)QBT9&aeU$M`+vP	ja#G""Tk~to]\0@.#M$G.>;TDKC *UqNtJ6idC=w4[94J9.m40ET1'LLW,P<?iU XRbQM{qyT/5X1!+L^sYDiTm%{4z,uM(-^J[^pu.Ck	
* Incompatible shapes: [6,3,13,15] vs. [9,15,13,13] [Op:MulNoNan] name: qHy&A[X-sGonYq?o[m#OS*]G5um^oFyU6	[q^zF6\F=#?&45V-	Zb
* Incompatible shapes: [9,2] vs. [13,13,8] [Op:MulNoNan] name: bw}8q9Y^^{$ih<Ni}lvU-SP_6",0,13,0.84,25,21,7.61,0.01,30,10,0.33
tf.math.ndtri,"* Could not find valid device for node.
* ndtri() missing 1 required positional argument: 'x'",0,2,0.23,997,234,127.83,0.51,N/A,N/A,N/A
tf.math.negative,* neg() missing 1 required positional argument: 'x',0,1,0.0,999,1,127.79,N/A,N/A,N/A,N/A
tf.math.nextafter,"* Cannot convert (-6.067476286751857e+17+2.2319347480695462e+18j) to EagerTensor of dtype float
* Incompatible shapes: [12,16,15,7] vs. [6] [Op:NextAfter] name: y.5D0B=E>uo#Z3wc'@Xq(iI%k^kv%.s
* Incompatible shapes: [1,5,11] vs. [9,7] [Op:NextAfter] name: 6%}!r6]v#aWQFcN`Um|;`D1MOaO,wG|S(`Dh:+v$r7io5JMLRG<OL`7|
* Incompatible shapes: [15] vs. [20,4,17] [Op:NextAfter] name: 6Vi=e;E&@T90|?B4|oG:Hb=;0J{il=m:9k>AhK.#_7x1y""vs4K'NhPiMK""s\""9^8/?Zk(
* Incompatible shapes: [14] vs. [7,19] [Op:NextAfter] name: *-lH;yQ,pTHYp/-g+C~.~)!P0*?1%Df@XEm!bN-_T82$FgiT!3kTp{I""PcG4N",0,462,0.81,1000,813,142.71,6.05,30,12,0.4
tf.math.not_equal,"* Could not find valid device for node.
* Cannot convert (2.7082945365750615e+18-7.765721530300372e+18j) to EagerTensor of dtype bool
* Incompatible shapes: [10,4] vs. [13,18,6] [Op:NotEqual]
* Incompatible shapes: [9,4,1,10] vs. [11,8] [Op:NotEqual] name: p0*N+544V;NBj6X(*Bu?\/""~%}""L&~~oI>5MU[A,\DfA3M^ZNyH>0~,LEl:+~EH9bGiD"" 21OTpyO/gqwF]Q
* Incompatible shapes: [14,16,3] vs. [16,13,19,0] [Op:NotEqual] name: 84%<DIeYn",0,416,0.65,1000,653,162.01,6.47,225,67,0.3
tf.math.polygamma,"* Incompatible shapes: [1,20] vs. [10] [Op:Polygamma]
* Incompatible shapes: [18,3] vs. [1,6,14,11] [Op:Polygamma]
* Incompatible shapes: [12] vs. [6,6,4,4] [Op:Polygamma] name: zpuu<7eN$c2}$\r3k-;xHzjL@FmZQCm{
* Incompatible shapes: [2,20] vs. [9,0] [Op:Polygamma] name: &9>z{]Q?Jzjl|Y_2j""xEN
* Incompatible shapes: [3] vs. [8,13,6] [Op:Polygamma] name: ^Y.`wT*iv!fr~\IZ9V""TR!Gy>rWu34R]2R?!BTV^E2u$1'O[K}uDw,b2z905Aaq.[lo&4$;W2C2dkR6dNy~jjI6lzG	gvrA&2'|GHmoedba- WDlEb[cPz4,]YEN@|GkjF|I{t{r%x+,o",0,446,0.62,1000,616,136.54,3.85,30,12,0.4
tf.math.polyval,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* cannot compute Mul as input #1(zero-based) was expected to be a half tensor but is a float tensor [Op:Mul] name: a'* 50v,dgoEj$gn q=CiIpJI!>F+[p<(*Kq.uEV\1lpwhsf[K5d;lY08P?l^dH^
* cannot compute Mul as input #1(zero-based) was expected to be a uint16 tensor but is a uint32 tensor [Op:Mul] name: 0t	Hv Jh39yR/dU0j*",0,70,0.36,1000,357,158.8,3.51,225,29,0.13
tf.math.pow,"* Integers to negative integer powers are not allowed [Op:Pow] name: Z_@<@'GKF5M;Ep	+i$`)$!q	M/
* Integers to negative integer powers are not allowed [Op:Pow] name: O^dK*X7Dc{(X1|"";xPl+.a6C49dVflf)XERj[01]''TR.a>s!bsB_/?8,aXN!6a.VYN^KC0vUS&H:x^^Lpm4kOG~ZhoX4;Gl[JCGQC[qmA3	TXy'R.
* Incompatible shapes: [19] vs. [15,2,0] [Op:Pow] name: #K|L/x'/ji%6hH<?MX=.BN<YK_Z3F0N{6`""8)>-R\%~?)F%'fuoH<bu]b+[^!
* Incompatible shapes: [9,5,14] vs. [19,13,10,20] [Op:Pow] name: 6,ia&ZOh '0Nu;ztBX	CM587a{y\iCmD
* Integers to negative integer powers are not allowed [Op:Pow] name: x""*Zss*^<-O[S(}<yKk!A3JeY0wV$!}mW]jpL@}b1$d]aIL5+yczlk ^Lu1)Pbh,FCb? u:*2sl|R7YTEZUVS",0,382,0.81,1000,815,134.92,6.52,49,18,0.37
tf.math.real,* real() missing 1 required positional argument: 'input',0,1,0.0,995,1,125.77,N/A,N/A,N/A,N/A
tf.math.reciprocal,"* Invalid cast from floating point type to S64 in ConstantR0WithType.
* Invalid cast from floating point type to S64 in ConstantR0WithType.
* Invalid cast from floating point type to S32 in ConstantR0WithType.
* Invalid cast from floating point type to S64 in ConstantR0WithType.
* Invalid cast from floating point type to S64 in ConstantR0WithType.",0,106,0.28,998,275,127.31,0.88,N/A,N/A,N/A
tf.math.reciprocal_no_nan,* reciprocal_no_nan() missing 1 required positional argument: 'x',0,1,0.0,999,1,129.65,N/A,N/A,N/A,N/A
tf.math.reduce_any,"* Could not find valid device for node.
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Any] name: !Q7AP(Kp*FV'*c)rO{Ad$1!@ATk$*9)Um7j; .-h*U%_L$x
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Any] name: s\yw$D4{|%f/:;RTnH*{_l_S`Q/Ph3-U]`w[u+?w[u&qgH(E:;t)g`/dJec=`98T)b;
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Any] name: A#|ACr5pfosUS.?	.Uz26Vx
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Any] name: a|}Aa{Ayy_)'@tfq3v'r#XhWq}0_9/}[]S~-CxlS6~taaz.)ibR:i =m\(PpV5b+H%",0,174,0.56,699,391,124.69,2.15,N/A,N/A,N/A
tf.math.reduce_euclidean_norm,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:EuclideanNorm] name: Q[f+ok>|S6`!1B)>~	""uUg-]xvnan;*U~;^*zLF(:%&Z7,-M{D][&d=""'74*PJ,.MCo
* Could not find valid device for node.",0,99,0.36,990,360,129.09,5.38,N/A,N/A,N/A
tf.math.reduce_logsumexp,"* Could not find valid device for node.
* Could not find valid device for node.
* Expected scalar or vector as index argument, got [8,15,10,7]
* reduce_logsumexp() missing 1 required positional argument: 'input_tensor'",17,4,0.34,998,339,330.46,5.29,225,27,0.12
tf.math.reduce_max,"* Could not find valid device for node.
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Max]
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Max] name: /Frwk@9 ""S!a*tmB7+gM
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Max] name: ^$P{B]w%ab}LC
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Max] name: -0&Nl""~J=",67,68,0.3,996,299,794.75,3.43,N/A,N/A,N/A
tf.math.reduce_mean,"* Could not find valid device for node.
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Mean]
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Mean] name: b4]Md?\MZRk$`LM{Iq@""cesE[b]dg6rbb94D:uKyVA=m""((.Tp(Kn#<=N{MD""~@e	@?;MEM uv#>jdUf?ZUwiZ(X!40vG;zm^wA'GKg-N99j		(_QRJ)puiNX	n?cq..xa0A!Ta#F@*BM6dXu]V""u~M!v#^
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Mean] name: 2FUM/5pg{^T;$aZ	zt[4r.rP<](~eU2t
* Expected scalar or vector as index argument, got [2,13,19,8]",3,48,0.26,992,257,160.52,2.98,N/A,N/A,N/A
tf.math.reduce_min,"* Could not find valid device for node.
* Invalid reduction dimension (1 for input with 0 dimension(s) [Op:Min] name: BiE,3:
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Min] name: 
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Min] name: &@`=lEp0h`jU!Xuy=QgA+YvBS#_LC\v0=.WU3708q.jXNTT/2w4`~ZN*TlH@H\Kj
* Expected scalar or vector as index argument, got [9,12]",97,73,0.28,991,279,1092.16,3.28,N/A,N/A,N/A
tf.math.reduce_prod,"* Could not find valid device for node.
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Prod]
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Prod] name: [DJ=2Fpf<=W/1?I_iY
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Prod] name: pypD
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Prod] name: u->Xj<V>r$;PZ>~s,d>S0""]sw`0xxpa+$V/q5fRbY",1,61,0.27,998,271,140.08,3.55,N/A,N/A,N/A
tf.math.reduce_std,"* Could not find valid device for node.
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Mean]
* reduce_std() missing 1 required positional argument: 'input_tensor'
* Could not find valid device for node.",0,4,0.33,999,331,162.5,4.41,225,41,0.18
tf.math.reduce_sum,"* Could not find valid device for node.
* Expected scalar or vector as index argument, got [13,12,18,2]
* Could not find valid device for node.
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Sum] name: Tuj,59@kW[fKoqGS(P%&(VvTX;C=#H
* Could not find valid device for node.",4,55,0.27,995,268,169.6,3.37,N/A,N/A,N/A
tf.math.reduce_variance,"* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Mean]
* Could not find valid device for node.
* reduce_variance() missing 1 required positional argument: 'input_tensor'
* Could not find valid device for node.",0,4,0.36,997,362,160.03,5.57,225,61,0.27
tf.math.rint,* rint() missing 1 required positional argument: 'x',0,1,0.0,994,1,160.9,N/A,N/A,N/A,N/A
tf.math.round,* round() missing 1 required positional argument: 'x',0,1,0.0,999,1,124.77,N/A,N/A,N/A,N/A
tf.math.rsqrt,* rsqrt() missing 1 required positional argument: 'x',0,1,0.0,1000,1,130.51,N/A,N/A,N/A,N/A
tf.math.scalar_mul,"* 'complex' object has no attribute 'dtype'
* scalar_mul_v2() missing 2 required positional arguments: 'scalar' and 'x'
* 'numpy.dtype' object has no attribute 'base_dtype'",0,3,1.0,11,11,28.78,0.01,225,0,0.0
tf.math.segment_max,"* Could not find valid device for node.
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMax] name: 
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMax]
* segment_max() missing 2 required positional arguments: 'data' and 'segment_ids'
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMax] name: !/8vn:#nV#LyA:xlF!Y4kAp*.#,*r!sOfh'=.*v\I^HU5aM6;'\5n",1,5,0.92,12,11,14.46,0.01,24,0,0.0
tf.math.segment_mean,"* Could not find valid device for node.
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMean] name: `YW}9X
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMean] name: 	~KbGK%4='RhLN}
* segment_mean() missing 2 required positional arguments: 'data' and 'segment_ids'
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMean] name: JV\f%x`",0,5,1.0,11,11,5.76,0.01,34,0,0.0
tf.math.segment_min,"* Could not find valid device for node.
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMin] name: |<MXVha=IGB""BKJhm~ge6=-w&<cCic4~Fb`5eU04VxSIiD/^zgH2*~%M5cfN&R)xK'z<9W9kGn`%>G& V
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentMin]
* segment_min() missing 2 required positional arguments: 'data' and 'segment_ids'
* Could not find valid device for node.",3,6,1.0,11,11,34.38,0.01,24,0,0.0
tf.math.segment_prod,"* Could not find valid device for node.
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentProd] name: t/&Qpcq*+hON""JGNsaHI\#B8hKw3yh2@MJVe\$D^
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentProd]
* segment_prod() missing 2 required positional arguments: 'data' and 'segment_ids'
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentProd] name: z&k6TBT$>`8HK lauw",2,7,1.0,11,11,25.65,0.01,34,0,0.0
tf.math.segment_sum,"* Could not find valid device for node.
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentSum] name: k3AW`!GdQh>	nF+
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentSum]
* segment_sum() missing 2 required positional arguments: 'data' and 'segment_ids'
* segment_ids should be the same size as dimension 0 of input. [Op:SegmentSum] name: TYt^Yjard>&,i	JrS@^= W9.PLxx",0,7,1.0,11,11,6.03,0.01,34,0,0.0
tf.math.sigmoid,* sigmoid() missing 1 required positional argument: 'x',0,1,0.0,997,1,128.07,N/A,N/A,N/A,N/A
tf.math.sign,* sign() missing 1 required positional argument: 'x',0,1,0.0,1000,1,125.81,N/A,N/A,N/A,N/A
tf.math.sin,* sin() missing 1 required positional argument: 'x',0,1,0.0,994,1,127.61,N/A,N/A,N/A,N/A
tf.math.sinh,* sinh() missing 1 required positional argument: 'x',0,1,0.0,996,1,154.1,N/A,N/A,N/A,N/A
tf.math.softplus,* softplus() missing 1 required positional argument: 'features',0,1,0.0,994,1,125.52,N/A,N/A,N/A,N/A
tf.math.sqrt,* sqrt() missing 1 required positional argument: 'x',0,1,0.0,1000,1,126.75,N/A,N/A,N/A,N/A
tf.math.square,* square() missing 1 required positional argument: 'x',0,1,0.0,999,1,124.63,N/A,N/A,N/A,N/A
